cat_id;name
4249;U12 Show Mixed
4250;U14 Fighting Men -30 kg 
4251;U14 Fighting Men -34 kg
4252;U14 Fighting Men -38 kg
4253;U14 Fighting Men -42 kg
4254;U14 Fighting Men -46 kg
4255;U14 Fighting Men -50 kg
4256;U14 Fighting Men -55 kg
4257;U14 Fighting Men -60 kg
4258;U14 Fighting Men -66 kg
4259;U14 Fighting Men +66 kg
4261;U14 Fighting Women -28 kg
4262;U14 Fighting Women -32 kg
4263;U14 Fighting Women -36 kg
4264;U14 Fighting Women -40 kg
4265;U14 Fighting Women -44 kg
4266;U14 Fighting Women -48 kg
4267;U14 Fighting Women -52 kg
4268;U14 Fighting Women -57 kg
4269;U14 Fighting Women +57 kg
4270;U14 Jiu-Jitsu Men -30 kg 
4271;U14 Jiu-Jitsu Men -34 kg 
4275;U14 Jiu-Jitsu Men -50 kg
4276;U14 Jiu-Jitsu Men -55 kg
4277;U14 Jiu-Jitsu Men -60 kg
4278;U14 Jiu-Jitsu Men -66 kg
4279;U14 Jiu-Jitsu Men +66 kg
4281;U14 Jiu-Jitsu Women -28 kg 
4282;U14 Jiu-Jitsu Women -30 kg 
4284;U14 Jiu-Jitsu Women -40 kg
4285;U14 Jiu-Jitsu Women -44 kg
4286;U14 Jiu-Jitsu Women -48 kg
4287;U14 Jiu-Jitsu Women -52 kg
4288;U14 Jiu-Jitsu Women -57 kg
4289;U14 Jiu-Jitsu Women +57 kg
4290;U14 Duo Men
4291;U14 Duo Women
4292;U12 Duo Mixed
4293;U14 Show Men
4294;U14 Duo Women
4295;U12 Duo Mixed
4296;U16 Fighting Men -38 kg
4297;U16 Fighting Men -42 kg
4298;U16 Fighting Men -46 kg
4299;U16 Fighting Men -50 kg
4300;U16 Fighting Men -55 kg
4301;U16 Fighting Men -60 kg
4302;U16 Fighting Men -66 kg
4303;U16 Fighting Men -73 kg
4304;U16 Fighting Men +73 kg
4305;U16 Fighting Women -32 kg
4306;U16 Fighting Women -36 kg
4307;U16 Fighting Women -40 kg
4308;U16 Fighting Women -44 kg
4309;U16 Fighting Women -48 kg
4310;U16 Fighting Women -52 kg
4311;U16 Fighting Women -57 kg
4312;U16 Fighting Women -63 kg
4313;U16 Fighting Women +63 kg
4314;U16 Jiu-Jitsu Men -38 kg
4315;U16 Jiu-Jitsu Men -42 kg
4316;U16 Jiu-Jitsu Men -46 kg
4317;U16 Jiu-Jitsu Men -50 kg
4318;U16 Jiu-Jitsu Men -55 kg
4319;U16 Jiu-Jitsu Men -60 kg
4320;U16 Jiu-Jitsu Men -66 kg
4321;U16 Jiu-Jitsu Men -73 kg
4322;U16 Jiu-Jitsu Men +73 kg
4323;U16 Jiu-Jitsu Women -32 kg
4324;U16 Jiu-Jitsu Women -36 kg
4325;U16 Jiu-Jitsu Women -40 kg
4326;U16 Jiu-Jitsu Women -44 kg
4327;U16 Jiu-Jitsu Women -48 kg
4328;U16 Jiu-Jitsu Women -52 kg
4329;U16 Jiu-Jitsu Women -57 kg
4330;U16 Jiu-Jitsu Women -63 kg
4331;U16 Jiu-Jitsu Women +63 kg
4332;U16 Duo Men
4333;U16 Duo Women
4334;U16 Duo Mixed
4335;U16 Show Men
4336;U16 Show Women
4337;U16 Show Mixed
4342;U18 Jiu-Jitsu Men -66 kg
4344;U18 Jiu-Jitsu Men -81 kg
4346;U18 Duo Women
4347;U18 Duo Men
4348;U18 Show Men
4349;U18 Show Women
4350;Adults Para Jiu-Jitsu Men -69 kg
4351;Adults Para Jiu-Jitsu Men -77 kg
4352;Adults Para Jiu-Jitsu Men -85 kg
4357;Adults Para Jiu-Jitsu Women -70 kg
4359;Adults Para Jiu-Jitsu Men -56 kg
4370;Adults Para Duo
4932;Adults Contact Ju-Jitsu Men -56 Kg
4933;Adults Contact Ju-Jitsu Men -62 Kg
4934;Adults Contact Ju-Jitsu Men -77 Kg
4935;Adults Contact Ju-Jitsu Men -85 Kg
4936;Adults Contact Ju-Jitsu Men +94 Kg
4937;Adults Contact Ju-Jitsu Women -45 Kg
4938;Adults Contact Ju-Jitsu Women -48 Kg
4939;Adults Contact Ju-Jitsu Women -52 Kg
4940;Adults Contact Ju-Jitsu Women -57 Kg
4941;Adults Contact Ju-Jitsu Women -70 Kg
4942;Adults Contact Ju-Jitsu Women +70 Kg
4945;U14 Jiu-Jitsu Men -38 kg
4946;U14 Jiu-Jitsu Men -42 kg
4947;U14 Jiu-Jitsu Men -46 kg
4948;U14 Fighting Men -46 kg
4949;U14 Fighting Men -42 kg
4950;U14 Fighting Men -38 kg
4951;Adults Para Duo
4952;Adults Para Jiu-Jitsu Men -77 kg
4953;U10 Jiu-Jitsu Women -25 kg
4954;U10 Fighting Women -28kg
5275;Master M1 Jiu-Jitsu Men -62 kg
5276;Master M1 Jiu-Jitsu Men -69 kg
5277;Master M1 Jiu-Jitsu Men -77 kg
5278;Master M1 Jiu-Jitsu Men -85 kg
5279;Master M1 Jiu-Jitsu Men -94 kg
5281;Master M2 Jiu-Jitsu Men +94 kg
5284;Master M2 Jiu-Jitsu Men -69 kg
5285;Master M2 Jiu-Jitsu Men -77 kg
5556;Master M1 Jiu-Jitsu Women -57 kg
5557;Master M1 Jiu-Jitsu Women -63 kg
5646;Adults Para Jiu-Jitsu Men -77 kg
5648;U16 Fighting Men +73 kg
5660;Master M1 Jiu-Jitsu Men -56 kg
5661;Master M1 Jiu-Jitsu Men -62 kg
5662;Master M1 Jiu-Jitsu Men -69 kg
5663;Master M1 Jiu-Jitsu Men -77 kg
5664;Master M1 Jiu-Jitsu Men -85 kg
5665;Master M1 Jiu-Jitsu Men -94 kg
5666;Master M1 Jiu-Jitsu Men +94 kg
5669;Master M1 Fighting Men -62 kg
5670;Master M1 Fighting Men -69 kg
5671;Master M1 Fighting Men -77 kg
5672;Master M1 Fighting Men -94 kg
5673;Master M1 Fighting Men -85 kg
5819;Master M3 Jiu-Jitsu Men -85 kg
5820;U21 Fighting Men -77 kg
5821;U16 Fighting Men -66 kg
5822;U16 Fighting Men +73 kg
5824;U16 Jiu-Jitsu Men -42 kg
5825;U16 Jiu-Jitsu Men -66 kg
5830;U16 Fighting Men +73 kg
6852;U21 Jiu-Jitsu Women -48 kg
6853;U21 Jiu-Jitsu Women -63 kg
6855;Adults Duo Men
6856;U21 Fighting Men -62 kg
6857;Adults Show Men
6858;Adults Jiu-Jitsu Men -62 kg
6859;Adults Fighting Men -62 kg
6860;U14 Jiu-Jitsu Women -36 kg
6861;U18 Jiu-Jitsu Women -48 kg
6862;U18 Fighting Women -48 kg
6875;Master M1 Fighting Men -77 kg
6876;Master M1 Fighting Men -85 kg
6877;Master M1 Fighting Men -94 kg
6878;Master M1 Jiu-Jitsu Women +70 kg
6884;Master M1 Jiu-Jitsu Men +94 kg
6886;Master M1 Jiu-Jitsu Men -69 kg
6887;Master M1 Jiu-Jitsu Men -77 kg
6888;Master M1 Jiu-Jitsu Men -85 kg
6889;Master M1 Jiu-Jitsu Men -94 kg
6898;Master M1 Jiu-Jitsu Men -69 kg
6900;Master M1 Jiu-Jitsu Men -85 kg
6929;Master M2 Fighting Men +94 kg
6933;Master M2 Fighting Men -85 kg
6937;Master M2 Jiu-Jitsu Women -52 kg
6941;Master M2 Jiu-Jitsu Men +94 kg
6943;Master M2 Jiu-Jitsu Men -69 kg
6945;Master M2 Jiu-Jitsu Men -85 kg
6946;Master M2 Jiu-Jitsu Men -94 kg
6958;Master M2 Jiu-Jitsu Men -94 kg
6960;U21 Jiu-Jitsu Women -48 kg
6961;U21 Show Women
6988;Master M3 Fighting Men -69 kg
6990;Master M3 Fighting Men -85 kg
6996;Master M3 Fighting Women -63 kg
7001;Master M3 Jiu-Jitsu Men -77 kg
7044;Master M4 Fighting Men -69 kg
7047;Master M4 Fighting Men -94 kg
7056;Master M4 Jiu-Jitsu Men -69 kg
7058;Master M4 Jiu-Jitsu Men -85 kg
7059;Master M4 Jiu-Jitsu Men -94 kg
7066;Master M4 Jiu-Jitsu Men +94 kg
7071;Master M4 Jiu-Jitsu Men -94 kg
7093;U14 Jiu-Jitsu Women -57 kg
7095;U14 Jiu-Jitsu Men -34 kg
7096;U14 Jiu-Jitsu Men -73 kg
7101;Adults Para Jiu-Jitsu Men +94 kg
7102;Master M1 Jiu-Jitsu Men -85 kg
7177;U21 Show Mixed
14147;U21 Show Mixed
14473;U10 Duo Mixed
14474;U14 Duo Mixed
14707;Adults Jiu-Jitsu Women -63 kg
100000;Adults Para Jiu-Jitsu Women +70 kg
100001;Adults Para Jiu-Jitsu Men -77 kg
100002;Adults Para Jiu-Jitsu Men -62 kg
999998;Master M1 Fighting Men -69 kg
999999;Master M1 Fighting Men -77 kg
